File,LOC,SLOC_P,SLOC_L,MVG,BLOC,C_SLOC,CLOC,CWORD,HCLOC,HCWORD,No_Methods,LCOM,AVCC,NOS,HBUG,HEFF,UWCS,INST,PACK,RFC,CBO,MI,CCML,NLOC,F_IN,DIT,MINC,S_R,R_R,COH,LMC,LCOM2,MAXCC,HVOL,HIER,NQU,FOUT,SIX,EXT,NSUP,TCC,NSUB,MPC,NCO,INTR,CCOM,HLTH,MOD,bug_cnt
org.eclipse.jdt.core/antadapter/org/eclipse/jdt/core/CheckDebugAttributes.java,81,62,48,10,9,5,10,61,10,56,4,0,3.5,42,0.65,36029.8,6,2,10,4,0,152.27,5,51,0,1,102.27,0,0.5,0.5,0,4,9,1941.81,1,0,0,0,0,1,14,0,0,4,0,5,352,1,1
org.eclipse.jdt.core/antadapter/org/eclipse/jdt/core/JDTCompilerAdapter.java,358,221,179,35,30,43,107,555,10,56,3,0,16.33,152,2.58,243016,5,2,14,3,0,21.5,140,206,0,1,68.33,0,0.5,0.5,2,5,40,7732.74,2,1,0,0,0,1,49,0,0,2,0,81,1165,1,8
org.eclipse.jdt.core/antadapter/org/eclipse/jdt/internal/antadapter/AntAdapterMessages.java,54,35,28,4,8,2,11,61,10,56,3,0.25,1.67,20,0.22,5808.01,5,2,4,3,0,165.97,3,30,0,1,115.97,0,0,0.33,0,1,2,656.58,0,2,0,0,0,0,5,0,0,1,0,3,150,1,1
org.eclipse.jdt.core/batch/org/eclipse/jdt/internal/compiler/batch/ClasspathDirectory.java,121,95,72,29,13,8,13,121,10,56,8,0.14,3.5,65,1.1,67736.5,15,7,5,8,0,156.09,11,88,0,1,106.09,0,0,0.27,1,16,10,3299.75,3,3,0,0,0,0,28,0,0,5,2,11,622,1,0
org.eclipse.jdt.core/batch/org/eclipse/jdt/internal/compiler/batch/ClasspathJar.java,86,62,47,11,10,3,14,84,10,56,6,0.07,2.5,39,0.49,18066.9,9,3,8,6,0,164.37,7,53,0,1,114.37,0,0,0.39,0,6,5,1476.64,4,2,0,0,0,0,15,0,0,4,1,7,307,1,0
org.eclipse.jdt.core/batch/org/eclipse/jdt/internal/compiler/batch/CompilationUnit.java,76,54,39,13,9,5,13,77,10,56,6,0.2,2.17,33,0.45,20021.4,10,4,5,6,0,167,11,48,0,1,117,0,0,0.42,0,6,6,1364.72,0,1,0,0,0,0,13,0,0,5,1,11,283,1,0
org.eclipse.jdt.core/batch/org/eclipse/jdt/internal/compiler/batch/FileFinder.java,49,36,26,8,3,1,10,57,10,56,2,0.67,5,27,0.46,23481,5,3,1,2,0,97.03,1,34,0,1,97.03,0,0,0.67,1,2,8,1371.11,0,0,0,0,0,0,10,0,0,2,0,1,259,1,0
org.eclipse.jdt.core/batch/org/eclipse/jdt/internal/compiler/batch/FileSystem.java,175,148,96,44,9,6,18,143,10,56,9,0.25,5,102,1.83,201368,11,2,7,9,0,147.53,10,136,0,1,97.53,0,0,0.28,2,9,16,5498.64,0,4,0,0,0,0,45,0,0,5,2,7,997,1,1
org.eclipse.jdt.core/batch/org/eclipse/jdt/internal/compiler/batch/Main.java,1619,1427,957,238,73,184,119,829,10,56,26,0.04,11.81,885,19.26,5345360,56,30,35,27,3,27.34,289,1317,3,1,71.47,0,0,0.07,14,70,208,57768.3,7,10,0,0,1,0,307,0,1,16,2,237,7679,1,15
org.eclipse.jdt.core/codeassist/org/eclipse/jdt/internal/codeassist/complete/CompletionNodeDetector.java,262,241,161,43,8,0,13,67,10,56,73,0.3,1.05,157,1.39,18369.1,76,3,3,73,0,140.85,3,237,0,1,140.85,0,0.5,0.04,2,341,3,4170.4,0,0,0,0,0,1,77,0,0,73,0,1,1151,1,0
org.eclipse.jdt.core/codeassist/org/eclipse/jdt/internal/codeassist/complete/CompletionNodeFound.java,33,20,16,0,3,1,10,64,10,56,3,0,1,12,0.09,1052.03,6,3,3,3,0,128.5,1,16,0,1,128.5,0,0.5,0.33,0,3,1,260.82,0,0,0,0,0,1,3,0,0,3,0,1,73,1,0
org.eclipse.jdt.core/codeassist/org/eclipse/jdt/internal/codeassist/complete/CompletionOnArgumentName.java,59,35,29,3,14,3,10,59,10,56,4,0.11,1.5,22,0.26,5151.89,7,3,6,5,0,120.34,3,28,0,1,120.34,0,0.5,0.25,0,6,3,794.54,3,1,0,0,1,1,6,0,1,3,0,3,179,1,0
