File,LOC,SLOC_P,SLOC_L,MVG,BLOC,C_SLOC,CLOC,CWORD,HCLOC,HCWORD,No_Methods,LCOM,AVCC,NOS,HBUG,HEFF,UWCS,INST,PACK,RFC,CBO,MI,CCML,NLOC,F_IN,DIT,MINC,S_R,R_R,COH,LMC,LCOM2,MAXCC,HVOL,HIER,NQU,FOUT,SIX,EXT,NSUP,TCC,NSUB,MPC,NCO,INTR,CCOM,HLTH,MOD,bug_cnt
org.eclipse.pde.build/src/org/eclipse/pde/internal/build/AbstractScriptGenerator.java,202,140,108,16,25,15,37,198,10,55,20,0.07,1.5,97,1.31,57432.3,27,7,6,20,0,161.1,42,133,0,1,121.22,0,0,0.08,0,202,5,3933.97,0,7,0,0,0,0,30,0,0,13,3,22,778,2,7
org.eclipse.pde.build/src/org/eclipse/pde/internal/build/ant/AntScript.java,649,359,289,20,44,147,246,1513,10,56,40,0.06,1.65,299,3.11,78509.9,44,4,2,40,0,63.43,383,356,0,1,113.43,0,0,0.31,6,0,6,9342.96,0,0,0,0,0,0,66,0,0,40,0,185,1926,1,1
org.eclipse.pde.build/src/org/eclipse/pde/internal/build/ant/Condition.java,90,46,36,4,9,6,35,154,10,55,5,0.06,1.8,41,0.36,9701.01,9,4,1,5,1,79.06,31,44,1,1,111.29,0,0,0.3,0,14,5,1075.28,0,0,0,0,0,0,9,0,0,5,0,12,244,1,0
org.eclipse.pde.build/src/org/eclipse/pde/internal/build/ant/ConditionTask.java,47,20,17,0,4,5,23,89,10,55,2,1.33,1,16,0.14,1931.76,5,3,0,2,0,63.81,18,19,0,1,113.81,0,0,1,0,2,1,413.21,0,0,0,0,0,0,2,0,0,2,1,8,101,1,0
org.eclipse.pde.build/src/org/eclipse/pde/internal/build/ant/FileSet.java,64,31,28,0,4,10,29,122,10,55,2,1.71,1,27,0.26,5055.69,9,7,0,2,1,82.51,29,30,1,1,102.65,2,0,1,0,2,1,781.04,0,0,0,0,0,0,2,2,0,2,0,13,179,1,0
org.eclipse.pde.build/src/org/eclipse/pde/internal/build/ant/ITask.java,25,4,3,0,2,0,19,91,10,55,1,0,1,2,0.01,41.48,1,0,0,1,0,97.03,9,3,0,1,147.03,0,0,0,0,1,1,27.65,0,0,0,0,0,0,1,0,0,1,0,2,11,1,0
org.eclipse.pde.build/src/org/eclipse/pde/internal/build/ant/JavacTask.java,194,94,76,3,21,20,79,373,10,55,14,0.06,1.21,79,0.79,28227.8,26,12,2,14,0,86.64,89,91,0,1,118.86,0,0,0.14,0,26,4,2378.13,0,0,0,0,0,0,17,0,0,14,1,34,478,1,0
org.eclipse.pde.build/src/org/eclipse/pde/internal/build/ant/TarFileSet.java,49,25,18,2,3,12,21,95,10,54,2,0,2,15,0.24,5123.58,2,0,0,2,0,68.35,23,24,0,1,112.48,0,0.5,0,0,2,3,733.52,0,0,0,0,0,1,4,0,0,2,0,13,152,1,1
org.eclipse.pde.build/src/org/eclipse/pde/internal/build/ant/ZipFileSet.java,52,29,22,2,4,12,19,89,10,54,2,1,2,19,0.27,5946.99,4,2,0,2,0,59.42,21,28,0,1,107.89,0,0.5,1,0,2,3,821.09,0,0,0,0,0,1,4,0,0,2,0,13,171,1,1
org.eclipse.pde.build/src/org/eclipse/pde/internal/build/AssembleConfigScriptGenerator.java,423,342,272,49,52,59,29,281,10,55,24,0.09,3.12,295,5.04,224695,43,19,8,24,0,119.82,78,333,0,1,99.21,0,0.5,0.14,17,204,8,15130.5,2,5,0,0,0,1,75,0,0,19,0,71,2763,1,17
org.eclipse.pde.build/src/org/eclipse/pde/internal/build/AssembleScriptGenerator.java,71,49,40,1,10,5,12,78,10,55,5,0.25,1.8,36,0.49,12577.9,9,4,4,6,0,162.56,7,44,0,1,112.56,0,0.5,0.45,1,6,4,1466.93,1,0,0,0,1,1,9,0,1,5,0,7,298,1,2
org.eclipse.pde.build/src/org/eclipse/pde/internal/build/AssemblyInformation.java,123,85,59,15,20,0,18,142,10,55,9,0,1.11,28,0.3,3745.09,10,1,4,10,0,132.55,5,36,0,1,132.55,0,0,1,0,0,2,913.28,0,3,0,0,1,0,10,0,1,6,0,5,233,1,1
org.eclipse.pde.build/src/org/eclipse/pde/internal/build/BuildActivator.java,24,11,8,0,3,0,10,54,10,54,2,0,1,5,0.04,362.1,2,0,2,2,0,141.99,0,8,0,1,141.99,0,0.5,0,0,2,1,117.51,0,0,0,0,0,1,2,0,0,2,0,0,34,1,0
org.eclipse.pde.build/src/org/eclipse/pde/internal/build/builder/AbstractBuildScriptGenerator.java,250,143,103,35,25,6,82,396,10,55,16,0.08,2.56,104,1.37,66537.7,22,6,8,16,0,113.49,78,134,0,1,113.26,0,0.5,0.09,3,98,10,4115.03,1,8,0,0,0,1,41,0,0,8,0,22,838,2,2
org.eclipse.pde.build/src/org/eclipse/pde/internal/build/builder/ClasspathComputer2_1.java,373,212,153,46,39,13,122,827,10,55,15,0.21,3.8,172,3.11,220755,16,1,12,15,0,50.92,125,199,0,1,99.03,0,0,0.8,13,0,14,9344.32,0,5,0,0,0,0,57,0,0,10,4,59,1628,1,5
org.eclipse.pde.build/src/org/eclipse/pde/internal/build/builder/ClasspathComputer3_0.java,364,215,157,44,35,15,114,824,10,55,14,0.23,4,176,3.14,209349,15,1,12,14,0,49.44,119,202,0,1,97.55,0,0,0.79,12,0,14,9426.17,0,4,0,0,0,0,56,0,0,10,4,61,1643,1,7
org.eclipse.pde.build/src/org/eclipse/pde/internal/build/builder/DevClassPathHelper.java,77,57,45,7,6,2,14,77,10,55,4,0.22,2.5,33,0.39,11161.2,7,3,8,4,0,159.97,6,48,0,1,109.97,0,0,0.5,0,2,4,1160.99,0,2,0,0,0,0,10,0,0,2,0,4,242,1,0
org.eclipse.pde.build/src/org/eclipse/pde/internal/build/builder/FeatureBuildScriptGenerator.java,1207,900,751,83,75,111,232,1365,10,55,61,0.03,2.67,781,13.04,531997,80,19,10,61,1,81.61,333,889,1,1,99.49,0,0.5,0.08,43,1516,11,39130.5,12,4,0,0,0,1,163,0,0,57,0,199,6735,1,13
org.eclipse.pde.build/src/org/eclipse/pde/internal/build/builder/IClasspathComputer.java,19,7,6,0,2,0,10,54,10,54,1,0,1,2,0.02,132.26,1,0,3,1,0,143.06,0,3,0,1,143.06,0,0,0,0,1,1,56.11,0,1,0,0,0,0,1,0,0,0,0,0,17,1,0
org.eclipse.pde.build/src/org/eclipse/pde/internal/build/builder/ModelBuildScriptGenerator.java,955,685,551,106,92,69,178,895,10,55,47,0.02,2.85,567,9.25,421231,61,14,9,47,0,81.51,237,640,0,1,99.38,0,0.5,0.09,38,583,11,27747.4,7,13,0,0,0,1,134,0,0,34,0,111,4874,1,16
org.eclipse.pde.build/src/org/eclipse/pde/internal/build/BuildScriptGenerator.java,184,91,71,7,21,3,72,244,10,55,11,0.03,1.73,75,0.89,28995.3,18,7,3,11,0,97.04,65,87,0,1,114.91,0,0.5,0.17,3,29,4,2683.69,1,0,0,0,0,1,19,0,0,11,0,22,536,1,7
org.eclipse.pde.build/src/org/eclipse/pde/internal/build/BundleHelper.java,88,65,48,15,15,2,8,57,8,54,13,0.06,1.23,40,0.37,6266.23,17,4,7,13,1,132.03,2,56,1,1,132.03,0,0,0.31,1,0,2,1117.61,0,7,0,0,0,0,16,0,0,6,0,2,279,1,0
org.eclipse.pde.build/src/org/eclipse/pde/internal/build/Config.java,106,71,48,25,25,5,10,60,10,55,12,0.16,1.83,47,0.45,12105.7,17,5,0,12,1,129.41,5,70,1,1,129.41,0,0,0.35,1,16,6,1336.48,0,7,0,0,0,0,22,0,0,5,0,5,336,1,0
org.eclipse.pde.build/src/org/eclipse/pde/internal/build/FeatureWriter.java,239,202,164,20,22,72,15,141,10,55,14,0.28,2.43,167,2.58,115528,17,3,9,15,1,83.23,77,192,1,1,101.11,1,0.33,0.6,11,0,6,7734.7,6,1,0,0,1,1,34,1,1,13,1,74,1432,1,3
org.eclipse.pde.build/src/org/eclipse/pde/internal/build/FetchScriptGenerator.java,544,353,283,34,65,72,126,811,10,55,28,0.06,2.68,282,4.57,243383,52,24,7,30,1,70.23,188,345,1,1,102.45,0,0.5,0.1,17,310,12,13717.5,3,3,0,0,2,1,75,0,2,25,0,113,2430,1,3
org.eclipse.pde.build/src/org/eclipse/pde/internal/build/IBuildPropertiesConstants.java,55,32,31,0,12,29,11,86,10,54,0,0,0,30,0.54,9956.61,29,29,0,0,0,171,30,31,0,1,171,0,0,0,0,0,0,1631.78,0,0,0,0,0,0,0,0,0,0,0,30,269,1,3
org.eclipse.pde.build/src/org/eclipse/pde/internal/build/IPDEBuildConstants.java,99,71,70,0,8,48,20,141,10,55,0,0,0,69,1.48,22861.6,68,68,0,0,0,171,58,70,0,1,171,0,0,0,0,0,0,4428.93,0,0,0,0,0,0,0,0,0,0,0,56,616,1,3
org.eclipse.pde.build/src/org/eclipse/pde/internal/build/IXMLConstants.java,118,94,93,0,6,91,18,173,10,55,0,0,0,92,2.08,32502.9,91,91,0,0,0,171,99,93,0,1,171,0,0,0,0,0,0,6236.22,0,0,0,0,0,0,0,0,0,0,0,97,823,1,5
org.eclipse.pde.build/src/org/eclipse/pde/internal/build/packager/FetchFileGenerator.java,204,159,124,27,29,24,16,159,10,55,13,0.08,2.85,127,1.93,87855.4,23,10,6,13,0,144.89,30,152,0,1,105.01,0,0.5,0.17,7,42,8,5803.82,3,0,0,0,0,1,37,0,0,13,0,30,1069,1,1
org.eclipse.pde.build/src/org/eclipse/pde/internal/build/packager/PackagerBuildScriptGenerator.java,142,111,89,7,17,4,14,114,10,55,12,0,1.75,90,1.07,33732.7,19,7,8,12,1,112.19,8,102,1,1,112.19,0,0.5,0.14,1,50,4,3195.76,5,0,0,0,0,1,21,0,0,12,0,8,609,1,5
org.eclipse.pde.build/src/org/eclipse/pde/internal/build/packager/PackagingConfigScriptGenerator.java,287,240,194,31,36,41,11,154,10,55,16,0.07,3.19,230,3.78,261932,20,4,5,16,0,134.68,42,234,0,1,94.8,0,0.5,0.19,10,84,8,11333.2,1,0,0,0,0,1,51,0,0,16,0,42,2021,1,1
org.eclipse.pde.build/src/org/eclipse/pde/internal/build/packager/UnzipperGenerator.java,162,115,88,14,21,19,26,202,10,55,11,0.02,2.45,90,1.14,42966,16,5,5,11,0,129.44,35,109,0,1,108.82,0,0.5,0.18,8,41,9,3416.87,4,0,0,0,0,1,27,0,0,11,0,30,668,1,3
org.eclipse.pde.build/src/org/eclipse/pde/internal/build/Policy.java,121,54,38,23,10,4,57,344,10,55,8,0.43,2.12,31,0.4,11499.2,10,2,3,10,0,95.94,51,50,0,1,128.16,0,0,0.12,1,14,4,1212.07,0,4,0,0,2,0,17,0,2,4,0,15,285,1,0
org.eclipse.pde.build/src/org/eclipse/pde/internal/build/site/BuildTimeFeature.java,20,8,6,1,2,0,10,55,10,55,1,0,1,3,0.02,126.12,1,0,2,1,0,136.66,0,5,0,1,136.66,0,0.5,0,0,1,1,47.21,1,1,0,0,0,1,1,0,0,0,0,0,16,1,0
